observation_date,FPCPITOTLZGCHN
1987-01-01,7.233835530656090
1988-01-01,18.811817944875301
1989-01-01,18.245638362164801
1990-01-01,3.052290120752330
1991-01-01,3.556685652204520
1992-01-01,6.353981340248690
1993-01-01,14.610078635660200
1994-01-01,24.256989724336101
1995-01-01,16.791225165091600
1996-01-01,8.313160288939089
1997-01-01,2.786465055318820
1998-01-01,-0.773186011549318
1999-01-01,-1.401472682764650
2000-01-01,0.347811226864587
2001-01-01,0.719125609120114
2002-01-01,-0.731970902350244
2003-01-01,1.127603487296370
2004-01-01,3.824637431081590
2005-01-01,1.776414076675710
2006-01-01,1.649430994558600
2007-01-01,4.816767673788340
2008-01-01,5.925251370410920
2009-01-01,-0.728165250932898
2010-01-01,3.175324752691990
2011-01-01,5.553898922574930
2012-01-01,2.619524326455410
2013-01-01,2.621050017481150
2014-01-01,1.921641627885210
2015-01-01,1.437023809356550
2016-01-01,2.000001821919430
2017-01-01,1.593136000714360
2018-01-01,2.074790399655760
2019-01-01,2.899234163582270
2020-01-01,2.419421894577820
2021-01-01,0.981015135544882
2022-01-01,1.973575557390510
2023-01-01,0.234836828893051
