observation_date,CHNLORSGPNOSTSAM
1978-01-01,101.56670000000000
1978-02-01,101.34110000000000
1978-03-01,101.11539999999999
1978-04-01,100.88710000000000
1978-05-01,100.65100000000000
1978-06-01,100.39770000000000
1978-07-01,100.13140000000000
1978-08-01,99.87691000000000
1978-09-01,99.64425000000000
1978-10-01,99.44346000000000
1978-11-01,99.29182000000000
1978-12-01,99.19391000000000
1979-01-01,99.15738000000000
1979-02-01,99.20766000000000
1979-03-01,99.34309000000000
1979-04-01,99.55611000000000
1979-05-01,99.84578999999999
1979-06-01,100.20390000000000
1979-07-01,100.61380000000000
1979-08-01,101.04340000000001
1979-09-01,101.46010000000000
1979-10-01,101.82540000000000
1979-11-01,102.11290000000000
1979-12-01,102.31670000000000
1980-01-01,102.44210000000000
1980-02-01,102.47720000000000
1980-03-01,102.42310000000001
1980-04-01,102.29120000000000
1980-05-01,102.08310000000000
1980-06-01,101.80080000000000
1980-07-01,101.44850000000000
1980-08-01,101.03390000000000
1980-09-01,100.58350000000000
1980-10-01,100.13900000000000
1980-11-01,99.73459000000000
1980-12-01,99.39169000000000
1981-01-01,99.11981000000000
1981-02-01,98.93061000000000
1981-03-01,98.83523000000000
1981-04-01,98.82195000000000
1981-05-01,98.87752000000000
1981-06-01,98.98842999999999
1981-07-01,99.13647000000000
1981-08-01,99.30195000000001
1981-09-01,99.46313000000001
1981-10-01,99.59573000000000
1981-11-01,99.67130000000000
1981-12-01,99.67167000000001
1982-01-01,99.58826999999999
1982-02-01,99.43217000000000
1982-03-01,99.21836999999999
1982-04-01,98.96384000000000
1982-05-01,98.69327000000000
1982-06-01,98.43249000000000
1982-07-01,98.20210000000000
1982-08-01,98.01635000000000
1982-09-01,97.88652000000000
1982-10-01,97.81707000000000
1982-11-01,97.80277000000000
1982-12-01,97.83299000000000
1983-01-01,97.89409000000001
1983-02-01,97.96907000000000
1983-03-01,98.05448000000000
1983-04-01,98.14019000000000
1983-05-01,98.21554999999999
1983-06-01,98.27518000000001
1983-07-01,98.31697000000000
1983-08-01,98.34200000000000
1983-09-01,98.35068000000000
1983-10-01,98.34399999999999
1983-11-01,98.33068000000000
1983-12-01,98.32836000000000
1984-01-01,98.36010000000000
1984-02-01,98.43221000000000
1984-03-01,98.54015000000000
1984-04-01,98.69926000000000
1984-05-01,98.92301999999999
1984-06-01,99.21881000000000
1984-07-01,99.58947999999999
1984-08-01,100.02220000000000
1984-09-01,100.50050000000000
1984-10-01,101.00270000000000
1984-11-01,101.50149999999999
1984-12-01,101.96180000000000
1985-01-01,102.34370000000000
1985-02-01,102.61910000000000
1985-03-01,102.77650000000000
1985-04-01,102.80660000000000
1985-05-01,102.70640000000000
1985-06-01,102.48900000000000
1985-07-01,102.17690000000000
1985-08-01,101.79610000000000
1985-09-01,101.38339999999999
1985-10-01,100.97690000000000
1985-11-01,100.61100000000000
1985-12-01,100.30790000000000
1986-01-01,100.07350000000000
1986-02-01,99.90518000000000
1986-03-01,99.80358000000000
1986-04-01,99.76038000000000
1986-05-01,99.77206000000000
1986-06-01,99.83192000000000
1986-07-01,99.93048000000000
1986-08-01,100.05660000000000
1986-09-01,100.19470000000000
1986-10-01,100.32890000000000
1986-11-01,100.44170000000000
1986-12-01,100.52200000000001
1987-01-01,100.56990000000000
1987-02-01,100.60050000000000
1987-03-01,100.62850000000000
1987-04-01,100.66530000000000
1987-05-01,100.71990000000000
1987-06-01,100.79570000000000
1987-07-01,100.88950000000000
1987-08-01,100.99970000000000
1987-09-01,101.12890000000000
1987-10-01,101.27860000000000
1987-11-01,101.44910000000000
1987-12-01,101.63950000000000
1988-01-01,101.84240000000000
1988-02-01,102.03980000000000
1988-03-01,102.22480000000000
1988-04-01,102.41010000000000
1988-05-01,102.59410000000000
1988-06-01,102.76819999999999
1988-07-01,102.91840000000001
1988-08-01,103.02910000000000
1988-09-01,103.07520000000000
1988-10-01,103.03390000000000
1988-11-01,102.89900000000000
1988-12-01,102.68500000000000
1989-01-01,102.41030000000001
1989-02-01,102.09690000000001
1989-03-01,101.74550000000001
1989-04-01,101.34670000000000
1989-05-01,100.89600000000000
1989-06-01,100.39850000000000
1989-07-01,99.86331000000000
1989-08-01,99.29895999999999
1989-09-01,98.72609000000000
1989-10-01,98.17385000000000
1989-11-01,97.67004000000000
1989-12-01,97.23000000000000
1990-01-01,96.86579999999999
1990-02-01,96.60166000000000
1990-03-01,96.44037000000000
1990-04-01,96.36356000000001
1990-05-01,96.35556000000000
1990-06-01,96.40591000000001
1990-07-01,96.51148999999999
1990-08-01,96.67355000000001
1990-09-01,96.88701000000000
1990-10-01,97.13724000000001
1990-11-01,97.39918000000000
1990-12-01,97.64283000000000
1991-01-01,97.84200000000000
1991-02-01,97.97707000000000
1991-03-01,98.05933000000000
1991-04-01,98.10516000000000
1991-05-01,98.12383000000000
1991-06-01,98.12434000000000
1991-07-01,98.11973000000000
1991-08-01,98.11924000000000
1991-09-01,98.12350000000001
1991-10-01,98.13490000000000
1991-11-01,98.16056000000000
1991-12-01,98.21138999999999
1992-01-01,98.28561000000001
1992-02-01,98.37022000000000
1992-03-01,98.45453000000001
1992-04-01,98.55233000000000
1992-05-01,98.67583000000000
1992-06-01,98.83323000000000
1992-07-01,99.02207000000000
1992-08-01,99.22953000000000
1992-09-01,99.44736000000000
1992-10-01,99.66885000000001
1992-11-01,99.88754000000000
1992-12-01,100.10039999999999
1993-01-01,100.30480000000000
1993-02-01,100.48720000000000
1993-03-01,100.63639999999999
1993-04-01,100.74530000000000
1993-05-01,100.81170000000000
